CITE-seq1	CITE-seq2	Exclusivity
CD19	CD127	Mutually exclusive
CD197	CD14	Mutually exclusive
CD19	CD14	Mutually exclusive
CD25	CD14	Mutually exclusive
CD278	CD14	Mutually exclusive
CD279	CD14	Mutually exclusive
CD27	CD14	Mutually exclusive
CD28	CD14	Mutually exclusive
CD3	CD14	Mutually exclusive
CD4	CD14	
CD56	CD14	Mutually exclusive
CD8a	CD14	Mutually exclusive
TIGIT	CD14	Mutually exclusive
CD19	CD16	Mutually exclusive
CD14	CD197	Mutually exclusive
CD127	CD19	Mutually exclusive
CD14	CD19	Mutually exclusive
CD16	CD19	Mutually exclusive
CD278	CD19	Mutually exclusive
CD28	CD19	Mutually exclusive
CD3	CD19	Mutually exclusive
CD4	CD19	Mutually exclusive
CD56	CD19	Mutually exclusive
CD86	CD19	Mutually exclusive
CD8a	CD19	Mutually exclusive
TIGIT	CD19	Mutually exclusive
CD14	CD25	Mutually exclusive
CD14	CD278	Mutually exclusive
CD19	CD278	Mutually exclusive
CD14	CD279	Mutually exclusive
CD14	CD27	Mutually exclusive
CD14	CD28	Mutually exclusive
CD19	CD28	Mutually exclusive
CD14	CD3	Mutually exclusive
CD19	CD3	Mutually exclusive
CD14	CD4	Mutually exclusive
CD19	CD4	Mutually exclusive
CD14	CD56	Mutually exclusive
CD16	CD56	Mutually exclusive
CD19	CD56	Mutually exclusive
CD19	CD86	Mutually exclusive
CD14	CD8a	Mutually exclusive
CD19	CD8a	Mutually exclusive
CD14	TIGIT	Mutually exclusive
CD19	TIGIT	Mutually exclusive
CD14	CD127	Weak
CD16	CD127	Weak
CD127	CD14	Weak
CD127	CD16	Weak
CD197	CD16	Weak
CD16	CD197	Weak
CD11b	CD11b	
CD127	CD11b	
CD14	CD11b	
CD16	CD11b	
CD197	CD11b	
CD19	CD11b	
CD25	CD11b	
CD278	CD11b	
CD279	CD11b	
CD27	CD11b	
CD28	CD11b	
CD3	CD11b	
CD45RA	CD11b	
CD45RO	CD11b	
CD45	CD11b	
CD4	CD11b	
CD56	CD11b	
CD62L	CD11b	
CD80	CD11b	
CD86	CD11b	
CD8a	CD11b	
HLA-DR	CD11b	
TIGIT	CD11b	
CD11b	CD127	
CD127	CD127	
CD197	CD127	
CD25	CD127	
CD278	CD127	
CD279	CD127	
CD27	CD127	
CD28	CD127	
CD3	CD127	
CD45RA	CD127	
CD45RO	CD127	
CD45	CD127	
CD4	CD127	
CD56	CD127	
CD62L	CD127	
CD80	CD127	
CD86	CD127	
CD8a	CD127	
HLA-DR	CD127	
TIGIT	CD127	
CD11b	CD14	
CD14	CD14	
CD16	CD14	
CD45RA	CD14	
CD45RO	CD14	
CD45	CD14	
CD62L	CD14	
CD80	CD14	
CD86	CD14	
HLA-DR	CD14	
CD11b	CD16	
CD14	CD16	
CD16	CD16	
CD25	CD16	
CD278	CD16	
CD279	CD16	
CD27	CD16	
CD28	CD16	
CD3	CD16	
CD45RA	CD16	
CD45RO	CD16	
CD45	CD16	
CD4	CD16	
CD56	CD16	
CD62L	CD16	
CD80	CD16	
CD86	CD16	
CD8a	CD16	
HLA-DR	CD16	
TIGIT	CD16	
CD11b	CD197	
CD127	CD197	
CD197	CD197	
CD19	CD197	
CD25	CD197	
CD278	CD197	
CD279	CD197	
CD27	CD197	
CD28	CD197	
CD3	CD197	
CD45RA	CD197	
CD45RO	CD197	
CD45	CD197	
CD4	CD197	
CD56	CD197	
CD62L	CD197	
CD80	CD197	
CD86	CD197	
CD8a	CD197	
HLA-DR	CD197	
TIGIT	CD197	
CD11b	CD19	
CD197	CD19	
CD19	CD19	
CD25	CD19	
CD279	CD19	
CD27	CD19	
CD45RA	CD19	
CD45RO	CD19	
CD45	CD19	
CD62L	CD19	
CD80	CD19	
HLA-DR	CD19	
CD11b	CD25	
CD127	CD25	
CD16	CD25	
CD197	CD25	
CD19	CD25	
CD25	CD25	
CD278	CD25	
CD279	CD25	
CD27	CD25	
CD28	CD25	
CD3	CD25	
CD45RA	CD25	
CD45RO	CD25	
CD45	CD25	
CD4	CD25	
CD56	CD25	
CD62L	CD25	
CD80	CD25	
CD86	CD25	
CD8a	CD25	
HLA-DR	CD25	
TIGIT	CD25	
CD11b	CD278	
CD127	CD278	
CD16	CD278	
CD197	CD278	
CD25	CD278	
CD278	CD278	
CD279	CD278	
CD27	CD278	
CD28	CD278	
CD3	CD278	
CD45RA	CD278	
CD45RO	CD278	
CD45	CD278	
CD4	CD278	
CD56	CD278	
CD62L	CD278	
CD80	CD278	
CD86	CD278	
CD8a	CD278	
HLA-DR	CD278	
TIGIT	CD278	
CD11b	CD279	
CD127	CD279	
CD16	CD279	
CD197	CD279	
CD19	CD279	
CD25	CD279	
CD278	CD279	
CD279	CD279	
CD27	CD279	
CD28	CD279	
CD3	CD279	
CD45RA	CD279	
CD45RO	CD279	
CD45	CD279	
CD4	CD279	
CD56	CD279	
CD62L	CD279	
CD80	CD279	
CD86	CD279	
CD8a	CD279	
HLA-DR	CD279	
TIGIT	CD279	
CD11b	CD27	
CD127	CD27	
CD16	CD27	
CD197	CD27	
CD19	CD27	
CD25	CD27	
CD278	CD27	
CD279	CD27	
CD27	CD27	
CD28	CD27	
CD3	CD27	
CD45RA	CD27	
CD45RO	CD27	
CD45	CD27	
CD4	CD27	
CD56	CD27	
CD62L	CD27	
CD80	CD27	
CD86	CD27	
CD8a	CD27	
HLA-DR	CD27	
TIGIT	CD27	
CD11b	CD28	
CD127	CD28	
CD16	CD28	
CD197	CD28	
CD25	CD28	
CD278	CD28	
CD279	CD28	
CD27	CD28	
CD28	CD28	
CD3	CD28	
CD45RA	CD28	
CD45RO	CD28	
CD45	CD28	
CD4	CD28	
CD56	CD28	
CD62L	CD28	
CD80	CD28	
CD86	CD28	
CD8a	CD28	
HLA-DR	CD28	
TIGIT	CD28	
CD11b	CD3	
CD127	CD3	
CD16	CD3	
CD197	CD3	
CD25	CD3	
CD278	CD3	
CD279	CD3	
CD27	CD3	
CD28	CD3	
CD3	CD3	
CD45RA	CD3	
CD45RO	CD3	
CD45	CD3	
CD4	CD3	
CD56	CD3	
CD62L	CD3	
CD80	CD3	
CD86	CD3	
CD8a	CD3	
HLA-DR	CD3	
TIGIT	CD3	
CD11b	CD4	
CD127	CD4	
CD16	CD4	
CD197	CD4	
CD25	CD4	
CD278	CD4	
CD279	CD4	
CD27	CD4	
CD28	CD4	
CD3	CD4	
CD45RA	CD4	
CD45RO	CD4	
CD45	CD4	
CD4	CD4	
CD56	CD4	
CD62L	CD4	
CD80	CD4	
CD86	CD4	
CD8a	CD4	
HLA-DR	CD4	
TIGIT	CD4	
CD11b	CD56	
CD127	CD56	
CD197	CD56	
CD25	CD56	
CD278	CD56	
CD279	CD56	
CD27	CD56	
CD28	CD56	
CD3	CD56	
CD45RA	CD56	
CD45RO	CD56	
CD45	CD56	
CD4	CD56	
CD56	CD56	
CD62L	CD56	
CD80	CD56	
CD86	CD56	
CD8a	CD56	
HLA-DR	CD56	
TIGIT	CD56	
CD11b	CD86	
CD127	CD86	
CD14	CD86	
CD16	CD86	
CD197	CD86	
CD25	CD86	
CD278	CD86	
CD279	CD86	
CD27	CD86	
CD28	CD86	
CD3	CD86	
CD45RA	CD86	
CD45RO	CD86	
CD45	CD86	
CD4	CD86	
CD56	CD86	
CD62L	CD86	
CD80	CD86	
CD86	CD86	
CD8a	CD86	
HLA-DR	CD86	
TIGIT	CD86	
CD11b	CD8a	
CD127	CD8a	
CD16	CD8a	
CD197	CD8a	
CD25	CD8a	
CD278	CD8a	
CD279	CD8a	
CD27	CD8a	
CD28	CD8a	
CD3	CD8a	
CD45RA	CD8a	
CD45RO	CD8a	
CD45	CD8a	
CD4	CD8a	
CD56	CD8a	
CD62L	CD8a	
CD80	CD8a	
CD86	CD8a	
CD8a	CD8a	
HLA-DR	CD8a	
TIGIT	CD8a	
CD11b	TIGIT	
CD127	TIGIT	
CD16	TIGIT	
CD197	TIGIT	
CD25	TIGIT	
CD278	TIGIT	
CD279	TIGIT	
CD27	TIGIT	
CD28	TIGIT	
CD3	TIGIT	
CD45RA	TIGIT	
CD45RO	TIGIT	
CD45	TIGIT	
CD4	TIGIT	
CD56	TIGIT	
CD62L	TIGIT	
CD80	TIGIT	
CD86	TIGIT	
CD8a	TIGIT	
HLA-DR	TIGIT	
TIGIT	TIGIT	
